Round,Opponent,Board,Line,Con,Dec,Lead,Tricks,Score_NS,Score_WE,Score,Result,"Cur. res.
VP table"
1,Gajendra Kumar Vyas - Rajendra Kumar (25),1,WE,1,E,,-2,,100,,0.00,10.00
1,Gajendra Kumar Vyas - Rajendra Kumar (25),2,WE,3,E,,+2,,,200,10.00,14.25
1,Gajendra Kumar Vyas - Rajendra Kumar (25),3,WE,5X,S,,-1,,,100,3.00,15.24
1,Gajendra Kumar Vyas - Rajendra Kumar (25),4,WE,3,W,,+3,,,690,8.00,17.35
1,Gajendra Kumar Vyas - Rajendra Kumar (25),5,WE,3,E,,+2,,,460,2.00,17.79
1,Gajendra Kumar Vyas - Rajendra Kumar (25),6,WE,3,E,,+2,,,660,1.00,17.99
2,Richa Shriram - Ranjan & Shibhnath (71),7,WE,2,E,,=,,,90,3.00,29.45
2,Richa Shriram - Ranjan & Shibhnath (71),8,WE,1,W,,+1,,,120,1.00,29.89
2,Richa Shriram - Ranjan & Shibhnath (71),9,WE,3,E,,=,,,600,13.00,34.37
2,Richa Shriram - Ranjan & Shibhnath (71),10,WE,6,E,,=,,,1440,0.00,34.37
2,Richa Shriram - Ranjan & Shibhnath (71),11,WE,3,W,,-1,,50,,-1.00,34.10
2,Richa Shriram - Ranjan & Shibhnath (71),12,WE,3,S,,+2,,660,,4.00,35.11
3,Bhalchandra G Ogale - Ajit B Chakradeo (11),13,NS,4,W,,+1,,,650,7.00,48.26
3,Bhalchandra G Ogale - Ajit B Chakradeo (11),14,NS,3,N,,-1,,,50,-2.00,47.44
3,Bhalchandra G Ogale - Ajit B Chakradeo (11),15,NS,3,N,,=,,140,,0.00,47.44
3,Bhalchandra G Ogale - Ajit B Chakradeo (11),16,NS,4,E,,+1,,,650,0.00,47.44
3,Bhalchandra G Ogale - Ajit B Chakradeo (11),17,NS,2,E,,+2,,,170,-2.00,46.57
3,Bhalchandra G Ogale - Ajit B Chakradeo (11),18,NS,3,N,,+1,,630,,1.00,47.01
4,Sukanta Das - Bhaskar Sarkar (58),19,NS,2,N,,+1,,140,,-1.00,56.51
4,Sukanta Das - Bhaskar Sarkar (58),20,NS,4,E,,+2,,,680,0.00,56.51
4,Sukanta Das - Bhaskar Sarkar (58),21,NS,3,W,,-1,,50,,0.00,56.51
4,Sukanta Das - Bhaskar Sarkar (58),22,NS,2,W,,+1,,,140,-4.00,54.68
4,Sukanta Das - Bhaskar Sarkar (58),23,NS,4,W,,+1,,,650,0.00,54.68
4,Sukanta Das - Bhaskar Sarkar (58),24,NS,4X,E,,-4,,800,,10.00,59.34
5,Mamata Bakshi - Ramkrishna Majumder (41),25,WE,3,S,,-1,,,50,7.00,72.49
5,Mamata Bakshi - Ramkrishna Majumder (41),26,WE,3X,W,,+1,,,870,13.00,76.46
5,Mamata Bakshi - Ramkrishna Majumder (41),27,WE,4,W,,=,,,420,-1.00,76.23
5,Mamata Bakshi - Ramkrishna Majumder (41),28,WE,3,S,,=,,140,,2.00,76.69
5,Mamata Bakshi - Ramkrishna Majumder (41),29,WE,4,E,,-1,,100,,-6.00,75.17
5,Mamata Bakshi - Ramkrishna Majumder (41),30,WE,2,S,,=,,120,,-2.00,74.58
6,Jesal Dabriwala - Joyrup Mullick (33),31,NS,6,W,,-1,,50,,11.00,89.17
6,Jesal Dabriwala - Joyrup Mullick (33),32,NS,3,S,,+1,,430,,2.00,89.82
6,Jesal Dabriwala - Joyrup Mullick (33),33,NS,2,E,,-1,,50,,6.00,91.47
6,Jesal Dabriwala - Joyrup Mullick (33),34,NS,4,S,,-2,,,200,-5.00,90.12
6,Jesal Dabriwala - Joyrup Mullick (33),35,NS,3,E,,+1,,,630,-3.00,89.17
6,Jesal Dabriwala - Joyrup Mullick (33),36,NS,6,W,,=,,,1440,-3.00,88.11
7,Subodh Maskara - Anirudhh & D Majumdar (15),1,NS,4,E,,-1,,50,,8.00,101.64
7,Subodh Maskara - Anirudhh & D Majumdar (15),2,NS,3,N,,=,,140,,4.00,103.03
7,Subodh Maskara - Anirudhh & D Majumdar (15),3,NS,2,W,,-1,,100,,2.00,103.65
7,Subodh Maskara - Anirudhh & D Majumdar (15),4,NS,2,W,,=,,,110,-1.00,103.35
7,Subodh Maskara - Anirudhh & D Majumdar (15),5,NS,5X,E,,-3,,500,,-2.00,102.70
7,Subodh Maskara - Anirudhh & D Majumdar (15),6,NS,3,W,,-1,,100,,-1.00,102.36
8,Vinay Mohan Lal - Keshav Sakharam Samant (18),7,NS,5,S,,+1,,620,,4.00,114.26
8,Vinay Mohan Lal - Keshav Sakharam Samant (18),8,NS,4,W,,-1,,50,,4.00,115.89
8,Vinay Mohan Lal - Keshav Sakharam Samant (18),9,NS,3,S,,=,,400,,0.00,115.89
8,Vinay Mohan Lal - Keshav Sakharam Samant (18),10,NS,3,N,,=,,600,,12.00,119.48
8,Vinay Mohan Lal - Keshav Sakharam Samant (18),11,NS,2,W,,+3,,,200,-2.00,119.00
8,Vinay Mohan Lal - Keshav Sakharam Samant (18),12,NS,5,W,,-1,,50,,7.00,120.55
