Round,Opponent,Board,Line,Con,Dec,Tricks,Score_NS,Score_WE,Score,Result,"Cur. res.
VP table"
,,2,WE,2,W,-1,,50,,-2.00,22.09
,,3,WE,2,E,+2,,,130,-6.00,19.91
,,4,WE,4,S,=,,620,,-3.00,18.64
,,5,WE,2,E,-1,,50,,-2.00,17.78
,,6,WE,6,N,-2,,,100,6.00,20.31
,,7,WE,3,S,=,,140,,3.00,21.41
,,8,WE,6,E,=,,,980,10.00,24.39
,,10,NS,4,E,-1,,100,,-3.00,34.39
,,11,NS,4,S,+1,,450,,0.00,34.39
,,12,NS,2,N,=,,110,,1.00,34.83
,,13,NS,1,N,+2,,150,,0.00,34.83
,,14,NS,3X,E,-4,,800,,12.00,39.07
,,15,NS,2,E,-1,,50,,-2.00,38.48
,,16,NS,3,N,=,,400,,0.00,38.48
,,18,WE,3,N,=,,140,,-4.00,47.21
,,19,WE,2,S,-2,,,100,3.00,48.48
,,20,WE,2,N,-2,,,200,3.00,49.75
,,21,WE,3,N,-4,,,400,6.00,51.93
,,22,WE,3,E,-3,,300,,-8.00,48.92
,,23,WE,3,W,=,,,110,1.00,49.34
,,24,WE,3,W,+1,,,430,0.00,49.34
,,26,WE,7,N,=,,2210,,-3.00,63.12
,,27,WE,5X,W,-1,,100,,4.00,64.30
,,28,WE,4,W,-1,,50,,-1.00,64.02
,,29,WE,4,N,+1,,650,,0.00,64.02
,,30,WE,6X,E,+1,,,1310,9.00,66.24
,,31,WE,4,S,-1,,,100,5.00,67.21
,,32,WE,1,N,-2,,,100,-4.00,66.45
,,2,NS,1,N,+2,,150,,2.00,78.12
,,3,NS,4,N,=,,420,,3.00,79.22
,,4,NS,2,S,=,,120,,3.00,80.23
,,5,NS,4,E,-1,,50,,2.00,80.84
,,6,NS,3,E,-3,,300,,12.00,83.76
,,7,NS,2,N,+2,,170,,0.00,83.76
,,8,NS,2,S,=,,110,,-1.00,83.56
,,10,NS,4,S,=,,620,,0.00,92.29
,,11,NS,3,S,-1,,,50,-4.00,90.79
,,12,NS,3,W,=,,,400,1.00,91.14
,,13,NS,4X,N,=,,790,,9.00,94.83
,,14,NS,3,E,+1,,,170,3.00,95.98
,,15,NS,3,E,+1,,,430,-4.00,94.42
,,16,NS,5X,N,-1,,,100,4.00,95.98
,,18,NS,4,E,-2,,100,,11.00,109.10
,,19,NS,4,S,+2,,480,,0.00,109.10
,,20,NS,4,E,=,,,620,-10.00,105.12
,,21,NS,1,S,=,,80,,3.00,106.42
,,22,NS,4,E,+1,,,650,-3.00,105.12
,,23,NS,2,N,+1,,110,,4.00,106.84
,,24,NS,3,S,+1,,430,,-1.00,106.42
,,26,NS,4,W,-1,,100,,11.00,119.87
,,27,NS,7X,N,-1,,,100,-13.00,114.75
,,28,NS,3,W,=,,,400,-9.00,111.74
,,29,NS,3,W,+2,,,200,2.00,112.33
,,30,NS,1,W,-4,,200,,-5.00,110.92
,,31,NS,3,N,+2,,660,,0.00,110.92
,,32,NS,4X,N,-1,,,100,-5.00,109.74
