title,author,narrator,duration,released data,language,rating
Algorithms to Live By,Brian Christian,Brian Christian,Length: 11 hrs and 50 mins,Release Date: 19-04-16,Language: English,4.5
The Power of Habit,Charles Duhigg,Mike Chamberlain,Length: 10 hrs and 53 mins,Release Date: 05-04-12,Language: English,4.5
Why We Sleep,Matthew Walker,John Sackville,Length: 13 hrs and 31 mins,Release Date: 07-12-17,Language: English,5.0
Designing Data-Intensive Applications,Martin Kleppmann,Benjamin Lange,Length: 20 hrs and 56 mins,Release Date: 05-02-21,Language: English,4.5
Cosmos,Carl Sagan,LeVar Burton,Length: 14 hrs and 31 mins,Release Date: 30-05-17,Language: English,5.0
A Brief History of Time,Stephen Hawking,John Sackville,Length: 6 hrs and 57 mins,Release Date: 22-09-16,Language: English,4.5
The God Delusion,Richard Dawkins,Richard Dawkins,Length: 13 hrs and 52 mins,Release Date: 20-10-06,Language: English,4.5
Determined,Robert M. Sapolsky,Kaleo Griffith,Length: 16 hrs and 39 mins,Release Date: 19-10-23,Language: English,5.0
A Short History of Nearly Everything,Bill Bryson,William Roberts,Length: 18 hrs and 59 mins,Release Date: 26-12-04,Language: English,4.5
Behave,Robert M. Sapolsky,Michael Goldstrom,Length: 26 hrs and 27 mins,Release Date: 16-08-18,Language: English,4.5
The Beginning of Infinity,David Deutsch,Walter Dixon,Length: 20 hrs,Release Date: 18-08-11,Language: English,4.5
The Song of the Cell,Siddhartha Mukherjee,Abhishek Sharma,Length: 18 hrs and 9 mins,Release Date: 14-10-23,Language: English,3.5
Dr. Cuterus,Tanaya Narendra,Tanaya Narendra,Length: 7 hrs and 13 mins,Release Date: 28-01-23,Language: English,4.5
Land of Seven Rivers,Sanjeev Sanyal,Vikrant Chaturvedi,Length: 10 hrs and 21 mins,Release Date: 24-03-20,Language: English,4.5
The God Equation,Michio Kaku,Feodor Chin,Length: 5 hrs and 30 mins,Release Date: 06-04-21,Language: English,4.5
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Neil deGrasse Tyson,Length: 3 hrs and 41 mins,Release Date: 02-05-17,Language: English,4.5
Inspired,Marty Cagan,Marty Cagan,Length: 7 hrs and 45 mins,Release Date: 20-03-18,Language: English,4.5
The Gene,Siddhartha Mukherjee,Dennis Boutsikaris,Length: 19 hrs and 21 mins,Release Date: 02-06-16,Language: English,5.0
Four Thousand Weeks,Oliver Burkeman,Oliver Burkeman,Length: 5 hrs and 53 mins,Release Date: 26-08-21,Language: English,4.5
Fundamentals of Software Architecture,Mark Richards,Benjamin Lange,Length: 13 hrs and 10 mins,Release Date: 27-02-21,Language: English,4.5
The Order of Time,Carlo Rovelli,Benedict Cumberbatch,Length: 4 hrs and 18 mins,Release Date: 26-04-18,Language: English,4.5
The Body,Bill Bryson,Bill Bryson,Length: 14 hrs and 47 mins,Release Date: 03-10-19,Language: English,4.5
A Life on Our Planet,David Attenborough,David Attenborough,Length: 6 hrs and 20 mins,Release Date: 01-10-20,Language: English,5.0
